id,code,name,date,date_str,tclose,high,low,topen,lclose,change,pchange,turnover,voturnover,vaturnover,tcap,mcap
1,600000,浦发银行,2016-07-19 16:00:00,2016-07-20,15.75,15.76,15.63,15.7,15.73,0.02,0.1271,0.0725,14866526,233284416,340487908772,323171392273
2,600000,浦发银行,2016-07-18 16:00:00,2016-07-19,15.73,15.8,15.65,15.77,15.77,-0.04,-0.2536,0.0837,17179816,269908287,340055543173,322761015902
3,600000,浦发银行,2016-07-17 16:00:00,2016-07-18,15.77,15.91,15.66,15.73,15.71,0.06,0.3819,0.1353,27766982,438169692,340920274370,323581768644
4,600000,浦发银行,2016-07-14 16:00:00,2016-07-15,15.71,15.75,15.65,15.71,15.7,0.01,0.0637,0.078,15998100,251152944,339623177575,322350639530
5,600000,浦发银行,2016-07-13 16:00:00,2016-07-14,15.7,15.84,15.64,15.77,15.79,-0.09,-0.57,0.0823,16883421,265364888,339406994775,322145451345
6,600000,浦发银行,2016-07-12 16:00:00,2016-07-13,15.79,15.97,15.64,15.65,15.64,0.15,0.9591,0.1766,36238056,573546775,341352639968,323992145015
7,600000,浦发银行,2016-07-11 16:00:00,2016-07-12,15.64,15.65,15.45,15.48,15.43,0.21,1.361,0.1245,25545130,397267013,338109897980,320914322231
8,600000,浦发银行,2016-07-10 16:00:00,2016-07-11,15.43,15.57,15.4,15.56,15.45,-0.02,-0.1294,0.1114,22852491,354003568,333570059196,316605370335
9,600000,浦发银行,2016-07-07 16:00:00,2016-07-08,15.45,15.56,15.44,15.55,15.57,-0.12,-0.7707,0.0726,14901331,230568191,334002424795,317015746706
10,600000,浦发银行,2016-07-06 16:00:00,2016-07-07,15.57,15.64,15.45,15.63,15.64,-0.07,-0.4476,0.1194,24498042,380536334,336596618386,319478004932
11,600000,浦发银行,2016-07-05 16:00:00,2016-07-06,15.64,15.76,15.61,15.71,15.79,-0.15,-0.95,0.112,22976510,360070168,338109897980,320914322231
12,600000,浦发银行,2016-07-04 16:00:00,2016-07-05,15.79,15.95,15.75,15.94,15.93,-0.14,-0.8788,0.0788,16171615,255727223,341352639968,323992145015
13,600000,浦发银行,2016-07-03 16:00:00,2016-07-04,15.93,16.03,15.8,15.86,15.92,0.01,0.0628,0.1044,21411650,341120776,344379199157,326864779613
14,600000,浦发银行,2016-06-30 16:00:00,2016-07-01,15.92,15.96,15.54,15.57,15.57,0.35,2.2479,0.1224,25106479,394802033,344163016358,326659591427
15,600000,浦发银行,2016-06-29 16:00:00,2016-06-30,15.57,15.66,15.44,15.5,15.5,0.07,0.4516,0.1011,20735886,323223547,336596618386,319478004932
16,600000,浦发银行,2016-06-28 16:00:00,2016-06-29,15.5,15.54,15.28,15.29,15.28,0.22,1.4398,0.1036,21253351,326320213,335083338791,318041687634
17,600000,浦发银行,2016-06-27 16:00:00,2016-06-28,15.28,15.3,15.18,15.27,15.31,-0.03,-0.196,0.0612,12559826,191346962,330327317208,313527547551
18,600000,浦发银行,2016-06-26 16:00:00,2016-06-27,15.31,15.39,15.18,15.29,15.28,0.03,0.1963,0.0934,19163499,292488228,330975865606,314143112108
19,600000,浦发银行,2016-06-23 16:00:00,2016-06-24,15.28,15.79,15.08,15.7,15.72,-0.44,-2.799,0.149,30575522,470756348,330327317208,313527547551
20,600000,浦发银行,2016-06-22 16:00:00,2016-06-23,15.72,15.9,15.71,15.9,15.8,-0.08,-0.5063,0.0628,12882295,203560849,339839360374,322555827716
21,600000,浦发银行,2016-06-21 16:00:00,2016-06-22,17.89,17.9,17.78,17.8,17.78,0.11,0.6187,0.0763,14227501,253800359,351591843454,333710603614
22,600000,浦发银行,2016-06-20 16:00:00,2016-06-21,17.78,17.95,17.75,17.88,17.85,-0.07,-0.3922,0.085,15852873,282663680,349430015462,331658721759
23,600000,浦发银行,2016-06-19 16:00:00,2016-06-20,17.85,17.93,17.75,17.93,17.77,0.08,0.4502,0.0519,9681495,172507202,350805724184,332964464758
24,600000,浦发银行,2016-06-16 16:00:00,2016-06-17,17.77,17.99,17.74,17.75,17.8,-0.03,-0.1685,0.0933,17412233,311113072,349233485644,331472187045
25,600000,浦发银行,2016-06-15 16:00:00,2016-06-16,17.8,17.93,17.6,17.67,17.74,0.06,0.3382,0.1655,30871127,549171213,349823075097,332031791187
26,600000,浦发银行,2016-06-14 16:00:00,2016-06-15,17.74,17.76,17.55,17.61,17.79,-0.05,-0.2811,0.1412,26332177,464557383,348643896192,330912582902
27,600000,浦发银行,2016-06-13 16:00:00,2016-06-14,17.79,17.83,17.7,17.77,17.78,0.01,0.0562,0.1006,18773357,333449719,349626545279,331845256473
28,600000,浦发银行,2016-06-12 16:00:00,2016-06-13,17.78,17.94,17.77,17.86,17.99,-0.21,-1.1673,0.1611,30051583,536281150,349430015462,331658721759
29,600000,浦发银行,2016-06-07 16:00:00,2016-06-08,17.99,18.07,17.97,18.01,18.02,-0.03,-0.1665,0.1274,23758300,427741583,353557141629,335575950756
30,600000,浦发银行,2016-06-06 16:00:00,2016-06-07,18.02,18.13,17.97,18.1,18.02,0,0,0.0886,16533983,298145352,354146731081,336135554898
31,600000,浦发银行,2016-06-05 16:00:00,2016-06-06,18.02,18.11,17.97,18.05,18.01,0.01,0.0555,0.0957,17856247,321865763,354146731081,336135554898
32,600000,浦发银行,2016-06-02 16:00:00,2016-06-03,18.01,18.13,17.9,18.12,18.02,-0.01,-0.0555,0.0965,18003512,323746001,353950201263,335949020184
33,600000,浦发银行,2016-06-01 16:00:00,2016-06-02,18.02,18.3,17.93,18.2,18.19,-0.17,-0.9346,0.0954,17786525,321768768,354146731081,336135554898
34,600000,浦发银行,2016-05-31 16:00:00,2016-06-01,18.19,18.35,18.13,18.3,18.29,-0.1,-0.5467,0.0982,18312424,333790682,357487737978,339306645039
35,600000,浦发银行,2016-05-30 16:00:00,2016-05-31,18.29,18.4,17.92,17.93,17.95,0.34,1.8942,0.191,35631526,650177320,359453036153,341171992180
36,600000,浦发银行,2016-05-29 16:00:00,2016-05-30,17.95,17.97,17.68,17.84,17.74,0.21,1.1838,0.094,17538184,313324795,352771022359,334829811899
37,600000,浦发银行,2016-05-26 16:00:00,2016-05-27,17.74,17.77,17.63,17.69,17.7,0.04,0.226,0.0623,11621242,205801175,348643896192,330912582902
38,600000,浦发银行,2016-05-25 16:00:00,2016-05-26,17.7,17.86,17.65,17.65,17.67,0.03,0.1698,0.0593,11065062,196266938,347857776922,330166444046
39,600000,浦发银行,2016-05-24 16:00:00,2016-05-25,17.67,17.73,17.6,17.68,17.55,0.12,0.6838,0.0738,13766238,243549455,347268187469,329606839903
40,600000,浦发银行,2016-05-23 16:00:00,2016-05-24,17.55,17.6,17.43,17.48,17.55,0,0,0.0575,10725938,187905438,344909829660,327368423333
41,600000,浦发银行,2016-05-22 16:00:00,2016-05-23,17.55,17.68,17.44,17.5,17.45,0.1,0.5731,0.0755,14080659,247441303,344909829660,327368423333
42,600000,浦发银行,2016-05-19 16:00:00,2016-05-20,17.45,17.5,17.27,17.31,17.35,0.1,0.5764,0.0597,11140621,194223009,342944531485,325503076192
43,600000,浦发银行,2016-05-18 16:00:00,2016-05-19,17.35,17.49,17.33,17.44,17.56,-0.21,-1.1959,0.0557,10380826,180686332,340979233310,323637729050
44,600000,浦发银行,2016-05-17 16:00:00,2016-05-18,17.56,17.62,17.02,17.25,17.25,0.31,1.7971,0.166,30962453,536935470,345106359477,327554958047
45,600000,浦发银行,2016-05-16 16:00:00,2016-05-17,17.25,17.34,17.16,17.29,17.29,-0.04,-0.2313,0.0524,9765153,168387277,339013935136,321772381909
46,600000,浦发银行,2016-05-15 16:00:00,2016-05-16,17.29,17.35,17.21,17.23,17.24,0.05,0.29,0.0592,11045624,190872655,339800054406,322518520765
47,600000,浦发银行,2016-05-12 16:00:00,2016-05-13,17.24,17.46,17.22,17.37,17.41,-0.17,-0.9765,0.059,11013829,190929402,338817405318,321585847195
48,600000,浦发银行,2016-05-11 16:00:00,2016-05-12,17.41,17.5,17.2,17.43,17.45,-0.04,-0.2292,0.0786,14668954,254410730,342158412215,324756937335
49,600000,浦发银行,2016-05-10 16:00:00,2016-05-11,17.45,17.57,17.4,17.55,17.48,-0.03,-0.1716,0.064,11941164,208655785,342944531485,325503076192
50,600000,浦发银行,2016-05-09 16:00:00,2016-05-10,17.48,17.56,17.38,17.38,17.51,-0.03,-0.1713,0.0903,16846648,294675478,343534120938,326062680334
51,600000,浦发银行,2016-05-08 16:00:00,2016-05-09,17.51,17.8,17.4,17.71,17.73,-0.22,-1.2408,0.1177,21947591,386423417,344123710390,326622284477
52,600000,浦发银行,2016-05-05 16:00:00,2016-05-06,17.73,18.1,17.71,18.07,18.06,-0.33,-1.8272,0.1255,23406763,418454827,348447366374,330726048188
53,600000,浦发银行,2016-05-04 16:00:00,2016-05-05,18.06,18.12,17.98,18.06,18.08,-0.02,-0.1106,0.0801,14936632,269576075,354932850351,336881693755
54,600000,浦发银行,2016-05-03 16:00:00,2016-05-04,18.08,18.23,18.02,18.06,18.12,-0.04,-0.2208,0.1239,23118959,418592994,355325909986,337254763183
55,600000,浦发银行,2016-05-02 16:00:00,2016-05-03,18.12,18.24,17.83,17.95,17.83,0.29,1.6265,0.1489,27776723,501830132,356112029256,338000902040
56,600000,浦发银行,2016-04-28 16:00:00,2016-04-29,17.83,17.94,17.75,17.83,17.9,-0.07,-0.3911,0.1237,23065933,412460987,350412664549,332591395329
57,600000,浦发银行,2016-04-27 16:00:00,2016-04-28,17.9,18.1,17.83,17.93,17.86,0.04,0.224,0.0843,15728417,282201353,351788373271,333897138328
58,600000,浦发银行,2016-04-26 16:00:00,2016-04-27,17.86,17.97,17.8,17.97,17.92,-0.06,-0.3348,0.0742,13838875,247622905,351002254001,333150999472
59,600000,浦发银行,2016-04-25 16:00:00,2016-04-26,17.92,18.08,17.75,17.87,17.88,0.04,0.2237,0.0844,15739400,281501388,352181432906,334270207757
60,600000,浦发银行,2016-04-24 16:00:00,2016-04-25,17.88,18.16,17.82,18.15,18.24,-0.36,-1.9737,0.1302,24294360,435467860,351395313636,333524068900
61,600000,浦发银行,2016-04-21 16:00:00,2016-04-22,18.24,18.36,17.94,18,18.12,0.12,0.6623,0.1511,28178162,513194655,358470387065,340239318610
62,600000,浦发银行,2016-04-20 16:00:00,2016-04-21,18.12,18.35,17.75,17.82,17.96,0.16,0.8909,0.2585,48212915,872382605,356112029256,338000902040
63,600000,浦发银行,2016-04-19 16:00:00,2016-04-20,17.96,17.99,17.31,17.89,17.9,0.06,0.3352,0.2499,46614611,825437834,352967552176,335016346613
64,600000,浦发银行,2016-04-18 16:00:00,2016-04-19,17.9,17.98,17.78,17.95,17.81,0.09,0.5053,0.1461,27246371,487095912,351788373271,333897138328
